latitude,longitude,Country,Happiness score
31.791702,-7.09262,Morocco,4.918
-18.665695,35.529562,Mozambique,4.794
21.913965,95.956223,Myanmar [Burma],
-22.957639999999998,18.49041,Namibia,4.574
-0.522778,166.931503,Nauru,
28.394857000000002,84.12400799999998,Nepal,5.269
52.132633,5.291266,Netherlands,7.4639999999999995
12.226078999999999,-69.060087,Netherlands Antilles,
-20.904304999999997,165.618042,New Caledonia,
-40.900557,174.88597099999996,New Zealand,7.277
12.865416,-85.207229,Nicaragua,5.972
17.607789,8.081666,Niger,5.074
9.081999,8.675277000000001,Nigeria,4.7589999999999995
-19.054445,-169.867233,Niue,
-29.040834999999998,167.954712,Norfolk Island,
40.339852,127.510093,North Korea,
17.33083,145.38468999999995,Northern Mariana Islands,
60.472024,8.468946,Norway,7.392
21.512583,55.92325500000001,Oman,
30.375321000000003,69.345116,Pakistan,4.934
7.51498,134.58252,Palau,
31.952162,35.233154,Palestinian Territories,
8.537981,-80.782127,Panama,6.18
-6.314993,143.95555,Papua New Guinea,
-23.442503,-58.44383199999999,Paraguay,5.653
-9.189967,-75.015152,Peru,5.84
12.879721,121.77401699999999,Philippines,5.88
-24.703615,-127.43930800000001,Pitcairn Islands,
51.919438,19.145135999999997,Poland,6.166
39.399871999999995,-8.224454,Portugal,5.928999999999999
18.220833,-66.590149,Puerto Rico,
25.354826,51.183884,Qatar,
45.943160999999996,24.96676,Romania,6.14
61.52401,105.31875600000001,Russia,5.477
-1.940278,29.873888,Rwanda,3.415
-21.115141,55.536384,Réunion,
-24.143473999999998,-10.030696,Saint Helena,
17.357822,-62.782998,Saint Kitts and Nevis,
13.909444,-60.97889300000001,Saint Lucia,
46.941936,-56.27111,Saint Pierre and Miquelon,
12.984305,-61.287228000000006,Saint Vincent and the Grenadines,
-13.759029,-172.10462900000005,Samoa,
43.94236,12.457777,San Marino,
23.885942,45.079162,Saudi Arabia,6.494
14.497401000000002,-14.452361999999999,Senegal,5.132000000000001
44.016521000000004,21.005859,Serbia,6.077999999999999
-4.679574,55.491977,Seychelles,
8.460555000000001,-11.779889,Sierra Leone,3.8489999999999998
1.352083,103.819836,Singapore,6.377000000000001
48.669026,19.699023999999998,Slovakia,6.331
46.151241,14.995463,Slovenia,6.461
-9.645710000000001,160.156194,Solomon Islands,
5.152149,46.199616,Somalia,
-30.559482,22.937506,South Africa,4.956
-54.429579000000004,-36.587909,South Georgia and the South Sandwich Islands,
35.90775700000001,127.766922,South Korea,5.845
40.463667,-3.7492199999999998,Spain,6.4910000000000005
7.873054,80.77179699999998,Sri Lanka,4.325
12.862807,30.217636,Sudan,
3.9193050000000014,-56.02778299999999,Suriname,
77.553604,23.670272,Svalbard and Jan Mayen,
-26.522503000000004,31.465866,Swaziland,4.308
60.128161,18.643501,Sweden,7.3629999999999995
46.818188,8.227511999999999,Switzerland,7.571000000000001
34.802075,38.99681500000001,Syria,
0.18636,6.613081,São Tomé and Príncipe,
23.69781,120.96051499999999,Taiwan,6.584
38.861034000000004,71.276093,Tajikistan,5.466
-6.369028,34.888822,Tanzania,3.623
15.870032,100.992541,Thailand,5.985
-8.874217,125.727539,Timor-Leste,
8.619543,0.824782,Togo,4.107
-8.967363,-171.855881,Tokelau,
-21.178986,-175.198242,Tonga,
10.691803,-61.222503,Trinidad and Tobago,
33.886917,9.537499,Tunisia,4.596
38.963745,35.243322,Turkey,4.948
38.969719,59.556278000000006,Turkmenistan,5.066
21.694025,-71.797928,Turks and Caicos Islands,
-7.109535,177.64933,Tuvalu,
18.335765,-64.896335,United States Virgin Islands,
1.373333,32.290275,Uganda,4.636
48.379433,31.16558,Ukraine,4.875
23.424076,53.847818000000004,United Arab Emirates,6.561
55.378051,-3.435973,United Kingdom,7.064
37.09024,-95.712891,United States of America,
-32.522779,-55.765834999999996,Uruguay,6.431
41.377491,64.585262,Uzbekistan,6.178999999999999
-15.376706,166.959158,Vanuatu,
41.902916,12.453389,Vatican City,
6.42375,-66.58973,Venezuela,4.8919999999999995
14.058323999999999,108.277199,Vietnam,5.4110000000000005
-13.768752,-177.156097,Wallis and Futuna,
24.215526999999998,-12.885834,Western Sahara,
15.552726999999999,48.516388,Yemen,3.658
-13.133897,27.849332,Zambia,4.073
-19.015438,29.154857,Zimbabwe,3.145
